time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-02 00:00:00+00:00,3,3,169,29
2024-05-03 00:00:00+00:00,3,3,152,31
2024-05-04 00:00:00+00:00,7,3,25,17
2024-05-05 00:00:00+00:00,1,1,28,23
2024-05-06 00:00:00+00:00,4,4,72,30
2024-05-07 00:00:00+00:00,9,5,124,31
2024-05-08 00:00:00+00:00,3,3,41,18
2024-05-09 00:00:00+00:00,3,3,73,31
2024-05-10 00:00:00+00:00,1,1,53,34
2024-05-11 00:00:00+00:00,9,3,85,28
2024-05-12 00:00:00+00:00,2,2,35,18
2024-05-13 00:00:00+00:00,6,3,48,27
2024-05-14 00:00:00+00:00,8,4,66,32
2024-05-15 00:00:00+00:00,8,4,60,41
2024-05-16 00:00:00+00:00,6,2,137,49
2024-05-17 00:00:00+00:00,2,2,106,45
2024-05-18 00:00:00+00:00,1,1,26,18
2024-05-19 00:00:00+00:00,6,3,23,10
2024-05-20 00:00:00+00:00,2,2,90,46
2024-05-21 00:00:00+00:00,5,2,57,33
2024-05-22 00:00:00+00:00,9,2,59,30
2024-05-23 00:00:00+00:00,1,1,62,32
2024-05-24 00:00:00+00:00,1,1,26,19
2024-05-25 00:00:00+00:00,1,1,45,19
2024-05-26 00:00:00+00:00,6,3,30,19
2024-05-27 00:00:00+00:00,4,3,76,32
2024-05-28 00:00:00+00:00,3,3,47,27
2024-05-29 00:00:00+00:00,7,3,38,23
2024-05-30 00:00:00+00:00,6,3,66,18
2024-05-31 00:00:00+00:00,6,2,38,20
2024-06-01 00:00:00+00:00,1,1,17,14
2024-06-02 00:00:00+00:00,1,1,22,18
2024-06-03 00:00:00+00:00,7,3,62,33
2024-06-04 00:00:00+00:00,6,2,67,30
2024-06-05 00:00:00+00:00,7,3,104,30
2024-06-06 00:00:00+00:00,5,2,81,31
2024-06-07 00:00:00+00:00,1,1,115,22
2024-06-08 00:00:00+00:00,5,4,44,16
2024-06-09 00:00:00+00:00,19,14,17,13
2024-06-10 00:00:00+00:00,7,5,48,27
2024-06-11 00:00:00+00:00,6,4,78,27
2024-06-12 00:00:00+00:00,9,6,66,45
2024-06-13 00:00:00+00:00,10,7,32,23
2024-06-14 00:00:00+00:00,5,4,20,18
2024-06-15 00:00:00+00:00,4,1,24,17
2024-06-16 00:00:00+00:00,1,1,25,14
2024-06-17 00:00:00+00:00,3,3,49,12
2024-06-18 00:00:00+00:00,6,3,100,24
2024-06-19 00:00:00+00:00,14,6,36,17
2024-06-20 00:00:00+00:00,8,4,22,18
2024-06-21 00:00:00+00:00,2,1,28,19
2024-06-22 00:00:00+00:00,7,3,41,21
2024-06-23 00:00:00+00:00,3,1,43,20
2024-06-24 00:00:00+00:00,4,4,16,14
2024-06-25 00:00:00+00:00,1,1,80,28
2024-06-26 00:00:00+00:00,0,0,43,32
2024-06-27 00:00:00+00:00,2,2,35,21
2024-06-28 00:00:00+00:00,2,1,45,17
2024-06-29 00:00:00+00:00,8,3,27,12
2024-06-30 00:00:00+00:00,0,0,7,5
2024-07-01 00:00:00+00:00,3,3,55,15
2024-07-02 00:00:00+00:00,3,3,90,25
2024-07-03 00:00:00+00:00,1,1,78,20
2024-07-04 00:00:00+00:00,0,0,43,17
2024-07-05 00:00:00+00:00,5,3,61,22
2024-07-06 00:00:00+00:00,0,0,36,15
2024-07-07 00:00:00+00:00,1,1,42,10
2024-07-08 00:00:00+00:00,1,1,67,36
2024-07-09 00:00:00+00:00,0,0,51,23
2024-07-10 00:00:00+00:00,3,2,83,21
2024-07-11 00:00:00+00:00,4,2,46,18
2024-07-12 00:00:00+00:00,2,2,65,16
2024-07-13 00:00:00+00:00,2,1,8,8
2024-07-14 00:00:00+00:00,4,1,11,8
2024-07-15 00:00:00+00:00,2,2,46,21
2024-07-16 00:00:00+00:00,2,2,16,12
2024-07-17 00:00:00+00:00,1,1,19,13
2024-07-18 00:00:00+00:00,2,1,41,20
2024-07-19 00:00:00+00:00,3,2,45,14
2024-07-20 00:00:00+00:00,2,2,16,9
2024-07-21 00:00:00+00:00,4,4,16,12
2024-07-22 00:00:00+00:00,4,2,32,15
2024-07-23 00:00:00+00:00,3,1,65,23
2024-07-24 00:00:00+00:00,3,3,56,26
2024-07-25 00:00:00+00:00,3,2,37,23
2024-07-26 00:00:00+00:00,0,0,21,18
2024-07-27 00:00:00+00:00,0,0,30,15
2024-07-28 00:00:00+00:00,2,1,26,13
2024-07-29 00:00:00+00:00,6,5,42,21
2024-07-30 00:00:00+00:00,1,1,79,29
2024-07-31 00:00:00+00:00,6,4,18,13
2024-08-01 00:00:00+00:00,3,2,66,14
2024-08-02 00:00:00+00:00,0,0,97,16
2024-08-03 00:00:00+00:00,2,2,14,10
